medidas,mean,std
ΔL1,0.11666666666666665,0.004714045207910314
Δt1,1.2,0.08164965809277258
ΔL2,0.12666666666666668,0.004714045207910321
Δt2,1.2,0.08164965809277258
ΔL3,0.14333333333333334,0.004714045207910308
Δt3,1.3,0.08164965809277258
ΔL4,0.15,0.008164965809277256
Δt4,1.2,0.08164965809277258
